picture_id,mid_year,cluster_id,cluster_rank
2006865393,1820,6,1
2006865393,1820,5,2
2006865393,1820,79,3
2006865393,1820,78,4
19588,1852,15,1
19588,1852,67,2
19588,1852,35,3
19588,1852,2,4
19586,1853,59,1
19586,1853,71,2
19586,1853,107,3
19586,1853,64,4
19584,1853,81,1
19584,1853,59,2
19584,1853,26,3
19584,1853,38,4
19582,1855,62,1
19582,1855,52,2
19582,1855,107,3
19582,1855,60,4
19581,1855,38,1
19581,1855,107,2
19581,1855,43,3
19581,1855,54,4
20869,1810,69,1
20869,1810,103,2
20869,1810,97,3
20869,1810,9,4
20868,1803,38,1
20868,1803,32,2
20868,1803,61,3
20868,1803,12,4
20865,1835,62,1
20865,1835,91,2
20865,1835,16,3
20865,1835,53,4
20863,1853,94,1
20863,1853,4,2
20863,1853,36,3
20863,1853,53,4
16116,1865,84,1
16116,1865,43,2
16116,1865,99,3
16116,1865,107,4
16117,1865,1,1
16117,1865,69,2
16117,1865,107,3
16117,1865,64,4
16113,1860,1,1
16113,1860,43,2
16113,1860,8,3
16113,1860,104,4
12209,1918,96,1
12209,1918,95,2
12209,1918,37,3
12209,1918,10,4
29358,1887,37,1
29358,1887,10,2
29358,1887,57,3
29358,1887,107,4
29359,1887,12,1
29359,1887,107,2
29359,1887,90,3
29359,1887,61,4
29350,1887,39,1
29350,1887,107,2
29350,1887,87,3
29350,1887,84,4
29352,1887,107,1
29352,1887,12,2
29352,1887,72,3
29352,1887,52,4
29354,1887,74,1
29354,1887,2,2
29354,1887,107,3
29354,1887,70,4
29355,1887,2,1
29355,1887,107,2
29355,1887,61,3
29355,1887,72,4
29357,1887,12,1
29357,1887,61,2
29357,1887,2,3
29357,1887,107,4
8866,1895,91,1
8866,1895,1,2
8866,1895,105,3
8866,1895,84,4
8867,1916,109,1
8867,1916,18,2
8867,1916,98,3
8867,1916,3,4
8864,1893,17,1
8864,1893,74,2
8864,1893,50,3
8864,1893,64,4
8865,1911,27,1
8865,1911,70,2
8865,1911,86,3
8865,1911,37,4
8862,1825,9,1
8862,1825,3,2
8862,1825,108,3
8862,1825,17,4
